iter	RMSE
397	4.194229354
398	4.192837788
399	4.19058973
400	4.187068773
401	4.185394443
402	4.18092656
403	4.177922283
404	4.174199848
405	4.17271773
406	4.168386944
407	4.164159776
408	4.163683399
409	4.161885941
410	4.161702681
411	4.158990686
412	4.156327844
413	4.153142699
414	4.152570018
415	4.149007036
416	4.145953751
417	4.145110584
418	4.14460301
419	4.139711051
420	4.135379605
421	4.13201036
422	4.128901214
423	4.124421002
424	4.120131908
425	4.115977298
426	4.115408396
427	4.110213513
428	4.105564127
429	4.103824326
430	4.101300083
431	4.101071265
432	4.098299486
433	4.095515077
434	4.092153427
435	4.09194285
436	4.08971738
437	4.085906502
438	4.085135293
439	4.083605661
440	4.081846109
441	4.076835022
442	4.074291878
443	4.070591686
444	4.06790251
445	4.064040229
446	4.063204563
447	4.060538247
448	4.057483044
449	4.055338705
450	4.052199176
451	4.049609365
452	4.047153831
453	4.046909153
454	4.044507585
455	4.042337142
456	4.041855461
457	4.038213386
458	4.036142989
459	4.031266107
460	4.026984777
461	4.026873249
462	4.022523821
463	4.021758609
464	4.017650469
465	4.01574376
466	4.013337234
467	4.010001377
468	4.005775768
469	4.00452289
470	4.000026292
471	3.997073456
472	3.993384837
473	3.989634002
474	3.987264125
475	3.983725639
476	3.981725826
477	3.979060982
478	3.975526976
479	3.974891417
480	3.971197383
481	3.967054505
482	3.96603754
483	3.963673085
484	3.960508816
485	3.956540615
486	3.955059178
487	3.951767443
488	3.946232045
489	3.944039575
490	3.943538211
491	3.940369767
492	3.940168974
493	3.937918579
494	3.934598265
495	3.934482977
496	3.932104442
497	3.929927301
498	3.928033509
499	3.923715299
500	3.920802115
501	3.918249199
502	3.91371327
503	3.912072077
504	3.909568511
505	3.908449309
506	3.904797776
507	3.903566737
508	3.900978312
509	3.898623743
510	3.895337327
511	3.894039672
512	3.892022822
513	3.889497238
514	3.886793883
515	3.88388919
516	3.88118045
517	3.87872413
518	3.87637212
519	3.874235887
520	3.872195581
521	3.868986794
522	3.864499081
523	3.861489062
524	3.857079426
525	3.853931583
526	3.853803983
527	3.851598794
528	3.84796628
529	3.846305461
530	3.842348079
531	3.837169611
532	3.836841939
533	3.832450275
534	3.82861683
535	3.826135633
536	3.824508897
537	3.822274613
538	3.819411421
539	3.816848287
540	3.815230278
541	3.811717783
542	3.809514096
543	3.806668708
544	3.804893672
545	3.802261703
546	3.798763509
547	3.796551165
548	3.794444563
549	3.792815824
550	3.790495744
551	3.788047782
552	3.787861754
553	3.786435687
554	3.785860794
555	3.781166648
556	3.779883331
557	3.778143305
558	3.775803858
559	3.773013423
560	3.771252078
561	3.767681884
562	3.767367799
563	3.767043996
564	3.765866281
565	3.762087964
566	3.758940175
567	3.757556535
568	3.754172717
569	3.750786478
570	3.749108396
571	3.745746773
572	3.741969731
573	3.739377784
574	3.737985778
575	3.737145529
576	3.736085077
577	3.734408142
578	3.730825461
579	3.72721159
580	3.723642551
581	3.722383646
582	3.720580894
583	3.719105251
584	3.716622361
585	3.714134326
586	3.713575975
587	3.713454909
588	3.710937248
589	3.71081386
590	3.708837867
591	3.706058957
592	3.704783226
593	3.704476259
594	3.702724409
595	3.702384329
596	3.700928965
597	3.697545717
598	3.69472649
599	3.693751273
600	3.691549312
601	3.689813037
602	3.686662737
603	3.684989055
604	3.682939162
605	3.682406455
606	3.67955348
607	3.677286121
608	3.67411452
609	3.671490424
610	3.669313904
611	3.669041189
612	3.667128228
613	3.663988762
614	3.661475704
615	3.659087202
616	3.65700781
617	3.655681317
618	3.653458338
619	3.652695025
620	3.650504783
621	3.648248045
622	3.64809083
623	3.646275675
624	3.643599195
625	3.640841372
626	3.640760153
627	3.638350091
628	3.636167434
629	3.633573886
630	3.630577683
631	3.62889022
632	3.62572401
633	3.62532108
634	3.622831326
635	3.621369445
636	3.618519451
637	3.618372762
638	3.614627783
639	3.61370746
640	3.610448398
641	3.60701763
642	3.605264898
643	3.601652099
644	3.59935185
645	3.59918812
646	3.59785153
647	3.596023052
648	3.594100439
649	3.593616526
650	3.59204714
651	3.591984757
652	3.588935406
653	3.586866813
654	3.583215372
655	3.582067728
656	3.579439039
657	3.577731459
658	3.577471783
659	3.576065419
660	3.573086343
661	3.570730056
662	3.568025342
663	3.565616945
664	3.563036958
665	3.559726846
666	3.558570746
667	3.556243531
668	3.554821728
669	3.554749145
670	3.55390311
671	3.551775634
672	3.550126417
673	3.549451461
674	3.548505257
675	3.545579813
676	3.543098775
677	3.541992373
678	3.541066473
679	3.53973349
680	3.538343527
681	3.535665636
682	3.531541147
683	3.529816184
684	3.527114094
685	3.524602494
686	3.522670287
687	3.521034807
688	3.52008472
689	3.51864935
690	3.516727846
691	3.51333631
692	3.509881376
693	3.508728314
694	3.506317194
695	3.505734005
696	3.504157559
697	3.503907867
698	3.501910898
699	3.498365163
700	3.498294186
701	3.496084444
702	3.493820709
703	3.492225445
704	3.490563679
705	3.489259977
706	3.488123915
707	3.48516034
708	3.483621825
709	3.48198454
710	3.481829965
711	3.479642082
712	3.477735214
713	3.476282536
714	3.475785005
715	3.474968441
716	3.47342685
717	3.471786485
718	3.469756264
719	3.466424629
720	3.465119177
721	3.462513726
722	3.461435911
723	3.458477445
724	3.455801876
725	3.453855501
726	3.452687446
727	3.450571579
728	3.449178564
729	3.447785809
730	3.445927445
731	3.44453665
732	3.442743616
733	3.440207656
734	3.437852661
735	3.436241078
736	3.436178176
737	3.433679222
738	3.431332986
739	3.43111565
740	3.430332494
741	3.429132898
742	3.425459344
743	3.425191029
744	3.424948202
745	3.421210427
746	3.420101634
747	3.419796699
748	3.41733614
749	3.416046999
750	3.413028496
751	3.41008775
752	3.409853448
753	3.408722486
754	3.408111649
755	3.406586973
756	3.402802738
757	3.40061812
758	3.399773584
759	3.397170628
760	3.395242895
761	3.39086243
762	3.388907193
763	3.387136509
764	3.385276398
765	3.3836644
766	3.383025617
767	3.380216516
768	3.379185637
769	3.376404243
770	3.374268026
771	3.371200314
772	3.367878036
773	3.366192609
774	3.364365521
775	3.361585438
776	3.361473111
777	3.360489075
778	3.359041809
779	3.357358106
780	3.355837746
781	3.354023648
782	3.351784587
783	3.350115386
784	3.348955048
785	3.347373666
786	3.346905797
787	3.343437788
788	3.339968847
789	3.339299266
790	3.337952488
791	3.336074842
792	3.332037743
793	3.330388877
794	3.328384644
795	3.326441013
796	3.326292816
797	3.325270179
798	3.323428823
799	3.32327916
800	3.322583462
801	3.320919539
802	3.318758943
803	3.316886719
804	3.315487485
805	3.311825289
806	3.309746311
807	3.306609077
808	3.306482169
809	3.305075919
810	3.303833696
811	3.301442299
812	3.299783955
813	3.297275446
814	3.294262148
815	3.292549136
816	3.290200123
817	3.288968529
818	3.287677303
819	3.286592299
820	3.284966783
821	3.281970091
822	3.28011037
823	3.278213929
824	3.275458559
825	3.274306909
826	3.273425541
827	3.270736682
828	3.268724079
829	3.268004638
830	3.267647044
831	3.267382322
832	3.266138126
833	3.26443629
834	3.264402114
835	3.262816316
836	3.261718135
837	3.261618126
838	3.25940467
839	3.258865215
840	3.25606426
841	3.255607174
842	3.255389027
843	3.25379308
844	3.251675211
845	3.249117606
846	3.249063711
847	3.248278742
848	3.248054953
849	3.24767199
850	3.247348007
851	3.245721272
852	3.245620356
853	3.245039355
854	3.242848
855	3.242804442
856	3.238977702
857	3.23759615
858	3.236198219
859	3.233513686
860	3.231620729
861	3.229793955
862	3.228610582
863	3.226850848
864	3.225272155
865	3.222374876
866	3.220910462
867	3.220075107
868	3.218572924
869	3.216382678
870	3.215430318
871	3.213702562
872	3.210930266
873	3.2108587
874	3.208980397
875	3.208897888
876	3.206076631
877	3.203702148
878	3.202230178
879	3.201129942
880	3.201084162
881	3.199399879
882	3.19840213
883	3.198033011
884	3.197785507
885	3.19567862
886	3.192796389
887	3.190706034
888	3.190519666
889	3.188589994
890	3.186456821
891	3.184685364
892	3.182138694
893	3.1802047
894	3.179115083
895	3.176617308
896	3.175223879
897	3.173140476
898	3.173022814
899	3.17217928
900	3.170745989
901	3.169537879
902	3.168087289
903	3.167661895
904	3.166467436
905	3.164419121
906	3.16254921
907	3.161665676
908	3.159559816
909	3.157551206
910	3.15638664
911	3.155195964
912	3.153906933
913	3.153146027
914	3.1513607
915	3.149788431
916	3.148240583
917	3.146302275
918	3.145174368
919	3.144756131
920	3.142906696
921	3.141996891
922	3.140280743
923	3.139204327
924	3.13848209
925	3.137128559
926	3.136195096
927	3.135412361
928	3.134890684
929	3.134417083
930	3.132122081
931	3.130072015
932	3.128421182
933	3.125613246
934	3.124035564
935	3.122142423
936	3.120014407
937	3.120007234
938	3.118685976
939	3.117715679
940	3.117000672
941	3.115936456
942	3.11585222
943	3.114462668
944	3.113907459
945	3.113227663
946	3.110179511
947	3.109686391
948	3.109465136
949	3.108702618
950	3.107813006
951	3.10614465
952	3.10392976
953	3.102638288
954	3.101989101
955	3.100074422
956	3.099471169
957	3.096616208
958	3.09542277
959	3.094916068
960	3.094194325
961	3.09246446
962	3.09006809
963	3.089300558
964	3.089021895
965	3.088598805
966	3.087572289
967	3.086149671
968	3.084608089
969	3.082976748
970	3.081987091
971	3.08119097
972	3.080599841
973	3.078838873
974	3.078731877
975	3.076493252
976	3.07616292
977	3.07456119
978	3.074387052
979	3.073509404
980	3.071898534
981	3.069717985
982	3.069100232
983	3.067694568
984	3.065895129
985	3.065783815
986	3.064443044
987	3.061563111
988	3.060496793
989	3.059954637
990	3.057993838
991	3.056781364
992	3.055102998
993	3.054870575
994	3.053456851
995	3.052393414
996	3.049778153
997	3.048148844
998	3.048049457
999	3.047213928
